crop,microzone,soil_type,season,nitrogen,phosphorus,potassium,ph,organic_carbon,temperature_avg,temperature_min,temperature_max,humidity_avg,rainfall,rainfall_probability,forecast_rainfall,historical_seasonal_rainfall,wind_speed
sugarcane,well_irrigated,deep_black_vertisol,kharif,245.9,60.9,103.3,7.61,0.62,26.14,20.72,34.34,64.46,2087.47,100.0,100.1,1926.6,9.9
sugarcane,well_irrigated,medium_clay_loam,kharif,260.7,93.7,146.7,7.53,0.55,28.27,22.92,35.8,78.4,2263.32,100.0,218.0,2542.1,9.0
sugarcane,well_irrigated,deep_black_vertisol,annual,205.9,73.3,125.4,7.64,0.61,28.87,21.66,35.61,67.36,2353.61,100.0,120.5,2613.8,14.1
sugarcane,canal_command,medium_clay_loam,kharif,227.1,66.4,119.1,7.86,0.64,30.89,24.28,36.76,76.13,1879.53,100.0,177.9,2061.4,9.1
sugarcane,canal_command,medium_clay_loam,kharif,237.7,69.6,123.3,7.99,0.66,27.44,22.4,32.99,82.5,2286.5,100.0,201.3,2399.7,12.8
sugarcane,well_irrigated,deep_black_vertisol,annual,263.8,74.2,136.3,7.78,0.54,32.71,26.97,38.07,79.27,1561.42,100.0,152.6,1613.1,14.7
sugarcane,well_irrigated,deep_black_vertisol,kharif,246.4,92.8,134.0,7.59,0.46,27.84,20.46,33.04,72.41,2037.16,100.0,207.1,1796.7,10.7
sugarcane,well_irrigated,deep_black_vertisol,annual,221.3,84.7,125.9,7.81,0.47,26.54,21.53,35.42,60.13,1592.78,100.0,130.1,1395.3,10.5
sugarcane,well_irrigated,deep_black_vertisol,kharif,253.2,88.2,129.5,8.02,0.66,27.75,20.79,33.63,84.69,2349.65,100.0,226.6,2649.4,8.3
sugarcane,well_irrigated,deep_black_vertisol,annual,227.3,70.9,97.2,8.06,0.5,26.81,20.12,34.99,78.63,1549.39,100.0,142.6,1486.5,11.6
sugarcane,well_irrigated,deep_black_vertisol,kharif,187.7,84.4,110.4,8.05,0.47,28.21,21.05,36.37,67.97,2063.3,100.0,184.2,1898.0,15.1
sugarcane,canal_command,medium_clay_loam,annual,279.0,60.0,101.1,7.75,0.68,26.49,21.45,31.7,62.21,1533.84,100.0,110.2,1346.0,11.8
sugarcane,canal_command,medium_clay_loam,annual,253.8,68.4,96.6,7.72,0.52,28.07,22.14,33.24,60.45,2388.95,100.0,169.0,2517.7,11.4
sugarcane,canal_command,medium_clay_loam,kharif,259.8,69.1,125.3,8.28,0.67,30.21,21.59,39.16,78.58,1558.49,100.0,165.9,1381.0,11.2
sugarcane,well_irrigated,deep_black_vertisol,annual,202.0,66.5,136.8,7.72,0.46,32.78,24.25,41.49,84.87,1656.51,100.0,166.7,1753.9,11.2
sugarcane,canal_command,medium_clay_loam,kharif,226.3,81.8,134.9,7.43,0.67,32.02,25.19,38.59,66.82,1929.01,100.0,190.6,1802.5,8.4
sugarcane,canal_command,medium_clay_loam,kharif,206.0,85.3,119.8,7.47,0.51,30.78,25.48,39.19,72.38,1932.53,100.0,204.8,1844.3,12.7
sugarcane,well_irrigated,deep_black_vertisol,kharif,266.4,85.7,121.3,8.18,0.51,27.1,21.46,33.44,65.97,2337.08,100.0,258.3,2660.5,8.8
sugarcane,canal_command,deep_black_vertisol,annual,262.6,64.5,110.1,8.07,0.49,31.73,23.4,38.76,60.16,1758.33,100.0,208.4,1827.9,12.9
sugarcane,well_irrigated,medium_clay_loam,annual,180.9,88.7,97.7,7.66,0.45,29.03,20.67,35.59,64.49,2178.33,100.0,252.2,1960.3,14.3
sugarcane,well_irrigated,deep_black_vertisol,kharif,238.2,72.1,127.3,7.44,0.67,32.81,23.94,40.81,63.25,2182.44,100.0,91.2,2066.9,8.2
sugarcane,well_irrigated,deep_black_vertisol,annual,205.3,60.0,99.5,7.82,0.69,26.72,18.3,33.82,80.65,1768.54,100.0,89.3,1963.8,14.7
sugarcane,well_irrigated,medium_clay_loam,kharif,223.2,93.0,115.2,7.97,0.55,27.92,18.98,34.56,82.35,1706.96,100.0,72.5,1784.6,9.7
sugarcane,well_irrigated,deep_black_vertisol,kharif,227.2,79.0,99.6,7.58,0.47,27.08,20.26,34.2,60.45,2217.12,100.0,88.9,2282.5,10.4
sugarcane,well_irrigated,medium_clay_loam,kharif,223.0,67.0,119.5,7.46,0.6,27.88,19.69,34.12,71.38,1510.46,100.0,107.8,1501.4,8.6
sugarcane,well_irrigated,medium_clay_loam,annual,245.7,86.5,147.2,8.22,0.63,31.24,25.66,36.66,74.27,1516.53,100.0,154.8,1717.3,11.9
sugarcane,well_irrigated,deep_black_vertisol,annual,188.8,72.3,92.0,7.47,0.55,26.93,19.66,34.69,80.01,1680.14,100.0,81.3,1748.9,9.3
sugarcane,canal_command,medium_clay_loam,annual,239.5,81.6,126.8,7.67,0.68,32.63,25.13,40.77,75.31,1935.96,100.0,198.8,1924.9,13.3
sugarcane,canal_command,medium_clay_loam,annual,253.2,62.9,93.6,7.62,0.49,32.1,26.23,41.01,68.42,1663.91,100.0,154.2,1663.0,14.3
sugarcane,well_irrigated,medium_clay_loam,kharif,245.3,71.6,122.5,7.84,0.47,28.82,22.94,35.5,65.09,2256.41,100.0,243.0,2343.6,9.4
sugarcane,well_irrigated,medium_clay_loam,kharif,278.8,61.4,142.0,7.92,0.56,31.08,24.13,39.57,82.52,1879.55,100.0,164.3,2112.1,10.2
sugarcane,canal_command,deep_black_vertisol,kharif,226.6,89.3,104.1,8.1,0.55,30.21,22.68,36.7,72.82,1871.73,100.0,135.5,1923.9,8.6
sugarcane,canal_command,medium_clay_loam,annual,239.3,65.7,113.5,8.27,0.51,30.6,24.3,38.69,63.27,2372.84,100.0,139.7,2069.2,11.6
sugarcane,well_irrigated,medium_clay_loam,kharif,224.9,83.4,98.7,7.8,0.6,32.64,26.63,39.08,69.48,2044.98,100.0,197.2,2012.1,10.9
sugarcane,canal_command,medium_clay_loam,annual,200.6,63.9,106.2,7.45,0.58,32.56,27.4,38.04,71.3,2340.49,100.0,188.6,2018.6,10.5
sugarcane,well_irrigated,deep_black_vertisol,kharif,228.0,84.0,91.0,7.69,0.69,30.06,24.04,37.15,68.57,1979.02,100.0,104.9,1794.0,9.0
sugarcane,well_irrigated,deep_black_vertisol,annual,224.4,90.4,100.6,8.02,0.66,32.61,24.88,39.6,75.45,2282.01,100.0,96.8,2577.0,12.6
sugarcane,well_irrigated,deep_black_vertisol,kharif,240.1,92.9,139.6,8.0,0.59,28.44,22.8,35.86,67.95,2279.79,100.0,143.8,2012.4,15.9
sugarcane,canal_command,medium_clay_loam,kharif,212.7,83.4,138.5,8.09,0.65,29.05,20.78,34.53,73.61,1505.18,100.0,104.3,1458.3,10.6
sugarcane,canal_command,medium_clay_loam,annual,234.8,80.9,122.7,7.8,0.45,30.11,24.44,37.68,78.98,1950.4,100.0,152.4,1888.6,12.3
sugarcane,well_irrigated,medium_clay_loam,annual,251.8,93.4,91.1,7.58,0.45,30.53,21.94,36.51,83.18,1554.24,100.0,105.9,1368.4,15.5
sugarcane,well_irrigated,medium_clay_loam,annual,232.3,83.5,145.8,7.88,0.6,26.63,18.76,33.23,84.42,2240.86,100.0,142.6,2438.1,12.2
sugarcane,well_irrigated,medium_clay_loam,annual,276.3,76.9,138.4,7.9,0.46,30.43,21.63,37.84,80.48,2295.79,100.0,130.8,2372.2,9.8
sugarcane,canal_command,deep_black_vertisol,kharif,270.6,86.9,123.4,7.63,0.53,31.12,22.72,38.81,80.24,2189.99,100.0,128.8,2432.6,9.2
sugarcane,canal_command,deep_black_vertisol,annual,189.6,60.8,128.5,7.95,0.59,27.62,21.06,35.0,72.42,2389.01,100.0,228.4,2320.4,9.1
sugarcane,canal_command,deep_black_vertisol,kharif,252.5,60.6,110.5,8.14,0.6,28.36,19.74,36.45,66.62,2080.76,100.0,140.4,2153.9,12.8
sugarcane,canal_command,medium_clay_loam,annual,186.8,88.0,104.0,7.89,0.67,30.56,23.42,36.85,68.33,2102.54,100.0,195.4,2139.0,16.0
sugarcane,canal_command,medium_clay_loam,kharif,213.4,80.3,95.3,8.27,0.61,31.28,25.6,37.92,70.57,2239.63,100.0,111.1,2558.2,8.0
sugarcane,canal_command,medium_clay_loam,kharif,272.7,78.9,140.5,7.87,0.61,26.62,18.6,32.13,80.65,2203.83,100.0,94.5,2073.7,13.7
sugarcane,canal_command,medium_clay_loam,kharif,218.1,72.1,104.3,7.86,0.66,27.96,19.19,36.45,64.04,2207.65,100.0,176.8,2139.6,12.6
sugarcane,well_irrigated,deep_black_vertisol,kharif,218.1,90.7,142.1,8.13,0.65,28.13,22.81,34.74,64.34,2125.46,100.0,250.9,2215.3,10.8
sugarcane,well_irrigated,deep_black_vertisol,annual,227.9,71.0,126.4,7.53,0.67,31.81,25.54,40.62,80.63,2099.68,100.0,123.0,1835.1,9.0
sugarcane,well_irrigated,medium_clay_loam,kharif,223.2,70.9,120.4,7.8,0.48,30.49,24.62,37.96,76.26,1636.82,100.0,167.7,1617.1,8.5
sugarcane,well_irrigated,deep_black_vertisol,kharif,255.4,81.7,107.8,7.79,0.49,26.52,18.39,32.58,64.44,2122.46,100.0,124.4,1944.7,12.9
sugarcane,well_irrigated,medium_clay_loam,annual,232.7,74.9,97.8,8.2,0.56,27.36,20.89,34.02,80.69,2160.25,100.0,88.3,2105.9,14.2
sugarcane,canal_command,medium_clay_loam,annual,259.0,80.4,130.9,7.57,0.6,28.26,19.93,35.78,64.97,1558.16,100.0,142.9,1557.8,8.3
sugarcane,canal_command,deep_black_vertisol,kharif,228.8,65.3,109.5,8.06,0.57,28.63,22.05,35.47,79.63,2302.88,100.0,237.1,2175.3,15.6
sugarcane,well_irrigated,medium_clay_loam,annual,187.6,69.8,145.8,7.63,0.65,31.78,24.79,38.32,71.25,1704.27,100.0,82.6,1953.9,15.1
sugarcane,canal_command,medium_clay_loam,annual,184.2,63.0,133.0,7.46,0.47,26.08,17.26,34.03,68.83,1766.88,100.0,180.2,1852.4,10.8
sugarcane,canal_command,deep_black_vertisol,kharif,221.2,79.2,139.8,7.46,0.56,26.58,19.52,35.17,79.56,1705.06,100.0,77.6,1940.3,15.8
sugarcane,well_irrigated,deep_black_vertisol,annual,276.8,88.0,107.6,8.28,0.6,30.08,22.08,38.32,76.41,1615.29,100.0,184.5,1481.8,10.7
sugarcane,well_irrigated,deep_black_vertisol,annual,235.0,73.6,99.8,7.65,0.68,30.73,23.75,35.78,84.81,2104.31,100.0,175.8,2190.2,10.5
sugarcane,canal_command,medium_clay_loam,kharif,264.2,85.5,136.6,7.99,0.49,29.82,20.88,38.56,61.08,1648.33,100.0,161.7,1805.5,9.1
sugarcane,canal_command,deep_black_vertisol,annual,195.1,72.0,114.8,8.08,0.64,30.28,24.86,35.89,62.34,2019.46,100.0,170.9,2208.3,15.0
sugarcane,canal_command,deep_black_vertisol,kharif,279.2,63.5,114.1,8.12,0.5,29.89,21.95,37.35,64.7,1819.85,100.0,153.5,1549.7,14.3
sugarcane,well_irrigated,medium_clay_loam,kharif,263.3,60.4,135.0,8.08,0.62,31.29,22.93,38.18,72.55,1612.24,100.0,92.5,1437.1,11.1
sugarcane,canal_command,medium_clay_loam,kharif,249.6,60.1,127.2,7.72,0.65,26.65,19.3,33.57,76.06,1558.37,100.0,132.3,1586.7,12.6
sugarcane,well_irrigated,medium_clay_loam,kharif,239.9,81.1,91.4,7.69,0.61,27.04,19.26,35.03,84.55,1688.86,100.0,84.1,1808.2,14.6
sugarcane,well_irrigated,deep_black_vertisol,annual,202.1,80.9,134.1,8.3,0.68,30.5,23.81,38.04,79.64,1606.5,100.0,172.2,1550.5,11.3
sugarcane,well_irrigated,medium_clay_loam,annual,200.3,79.8,148.8,7.55,0.63,30.1,22.75,37.89,83.24,2204.32,100.0,154.6,2179.0,8.4
sugarcane,canal_command,deep_black_vertisol,kharif,225.8,76.9,98.0,7.47,0.63,29.48,22.73,37.39,79.14,1643.02,100.0,83.5,1766.9,12.9
sugarcane,canal_command,medium_clay_loam,kharif,181.3,69.9,92.7,7.43,0.52,27.93,19.78,36.83,69.28,1886.0,100.0,204.2,1629.4,14.8
sugarcane,well_irrigated,deep_black_vertisol,kharif,193.9,78.6,114.7,7.71,0.67,26.15,18.5,35.01,74.0,2343.14,100.0,172.2,2174.5,8.4
sugarcane,canal_command,medium_clay_loam,annual,278.0,65.1,133.5,7.57,0.53,28.16,19.37,37.03,64.58,1519.83,100.0,143.9,1540.4,13.8
sugarcane,canal_command,deep_black_vertisol,kharif,266.0,85.3,94.1,8.04,0.59,26.57,19.74,33.51,64.14,2351.13,100.0,219.9,2324.5,14.8
sugarcane,canal_command,deep_black_vertisol,kharif,254.9,70.2,137.2,7.5,0.54,32.85,24.67,39.84,68.49,2284.92,100.0,94.7,2028.7,12.4
sugarcane,well_irrigated,medium_clay_loam,annual,267.1,68.4,117.1,8.29,0.64,26.19,20.93,33.05,82.73,1984.83,100.0,96.1,2078.2,12.0
sugarcane,canal_command,medium_clay_loam,annual,189.3,75.4,101.7,7.57,0.47,28.5,20.47,34.6,67.81,2078.41,100.0,157.6,2114.5,9.6
sugarcane,canal_command,medium_clay_loam,kharif,265.7,91.7,106.6,8.29,0.49,27.41,21.68,35.99,76.36,1636.89,100.0,146.0,1432.3,11.5
sugarcane,canal_command,medium_clay_loam,kharif,254.0,71.2,149.3,7.84,0.48,31.08,24.78,40.06,84.49,2090.52,100.0,88.5,2293.1,9.0
sugarcane,well_irrigated,medium_clay_loam,kharif,253.1,66.6,141.5,8.14,0.59,30.97,24.71,37.86,80.54,1913.34,100.0,152.2,2101.8,10.9
sugarcane,well_irrigated,medium_clay_loam,kharif,204.4,64.0,95.2,8.05,0.56,32.34,24.38,38.1,75.34,1891.95,100.0,203.4,1752.3,12.6
sugarcane,well_irrigated,deep_black_vertisol,annual,247.6,71.4,131.2,7.46,0.49,31.99,26.08,40.34,66.98,2078.59,100.0,168.4,1957.2,13.6
sugarcane,canal_command,deep_black_vertisol,annual,256.3,74.3,135.6,8.21,0.51,31.65,26.42,40.25,76.27,2286.8,100.0,160.9,2099.3,8.0
sugarcane,well_irrigated,medium_clay_loam,annual,218.0,94.2,96.6,7.78,0.46,31.18,22.51,37.3,81.46,1763.0,100.0,176.9,1924.3,15.3
sugarcane,canal_command,deep_black_vertisol,kharif,242.1,79.6,127.7,7.88,0.61,29.15,23.28,34.63,61.71,1736.98,100.0,184.1,1515.1,8.4
sugarcane,canal_command,medium_clay_loam,annual,254.3,61.7,144.2,8.17,0.62,30.15,21.58,35.89,61.97,1715.56,100.0,73.4,1758.2,14.4
sugarcane,well_irrigated,medium_clay_loam,kharif,237.3,83.1,105.1,7.6,0.57,31.16,24.06,36.29,81.71,1558.22,100.0,104.8,1401.5,15.6
sugarcane,well_irrigated,deep_black_vertisol,kharif,243.1,80.7,132.2,7.61,0.58,26.73,20.19,33.68,76.31,2355.48,100.0,234.3,2359.9,12.8
sugarcane,well_irrigated,medium_clay_loam,annual,269.1,60.1,92.4,7.94,0.68,27.67,20.79,34.47,71.82,2060.27,100.0,179.8,2083.1,11.8
sugarcane,well_irrigated,deep_black_vertisol,annual,201.9,61.3,96.5,7.7,0.65,30.0,22.95,36.18,83.29,1857.31,100.0,166.0,1642.1,8.7
sugarcane,canal_command,deep_black_vertisol,annual,237.5,61.0,130.5,7.44,0.56,32.51,26.85,39.07,78.25,2294.03,100.0,146.2,2444.4,13.4
sugarcane,well_irrigated,deep_black_vertisol,kharif,180.2,82.3,93.1,7.63,0.46,30.23,22.48,35.68,69.6,1910.61,100.0,94.9,1864.2,11.0
sugarcane,canal_command,deep_black_vertisol,kharif,220.4,71.2,135.0,7.77,0.61,30.53,21.97,37.92,72.55,1624.98,100.0,147.9,1742.5,8.9
sugarcane,well_irrigated,deep_black_vertisol,annual,233.4,65.0,90.7,7.78,0.52,29.4,22.09,34.58,63.08,2002.78,100.0,196.9,2094.3,10.7
sugarcane,canal_command,medium_clay_loam,kharif,265.2,74.1,94.7,7.89,0.67,30.13,24.23,36.67,71.25,2021.34,100.0,165.9,2028.4,14.1
sugarcane,canal_command,deep_black_vertisol,kharif,194.3,91.2,110.8,7.54,0.46,30.52,22.97,36.88,61.79,1868.67,100.0,176.0,1928.0,10.5
sugarcane,well_irrigated,medium_clay_loam,kharif,238.0,79.6,96.3,7.55,0.69,27.6,18.69,34.73,63.39,1589.37,100.0,113.9,1500.3,9.7
sugarcane,canal_command,deep_black_vertisol,annual,208.9,91.5,97.0,8.26,0.53,32.22,24.81,40.53,84.6,1759.56,100.0,125.2,1699.1,15.7
sugarcane,well_irrigated,medium_clay_loam,kharif,278.0,76.7,121.9,7.55,0.51,31.87,25.45,40.18,77.73,1659.45,100.0,176.7,1681.8,12.1
sugarcane,well_irrigated,deep_black_vertisol,annual,193.9,75.5,127.6,7.84,0.55,32.96,24.44,40.45,74.23,2058.59,100.0,147.4,1774.2,9.6
sugarcane,canal_command,medium_clay_loam,annual,270.7,64.6,125.6,7.94,0.54,29.21,24.06,37.19,73.73,1551.97,100.0,182.5,1761.1,13.4
sugarcane,well_irrigated,medium_clay_loam,kharif,228.3,90.2,125.3,7.74,0.52,27.42,19.38,33.97,72.78,1943.09,100.0,212.3,2223.3,12.6
sugarcane,well_irrigated,deep_black_vertisol,kharif,240.2,80.7,138.4,7.83,0.7,26.42,21.4,33.98,67.46,1716.34,100.0,196.2,1474.6,10.5
sugarcane,well_irrigated,medium_clay_loam,annual,193.4,70.5,111.5,8.12,0.52,27.47,18.65,32.51,84.95,2109.14,100.0,134.1,1801.8,14.6
sugarcane,well_irrigated,deep_black_vertisol,annual,243.3,62.4,90.3,8.24,0.66,31.66,23.13,39.46,62.61,1859.19,100.0,78.0,1751.1,13.8
sugarcane,canal_command,medium_clay_loam,kharif,260.8,93.2,94.3,8.26,0.58,28.1,22.79,35.1,79.86,2136.38,100.0,97.9,2074.1,8.4
sugarcane,canal_command,medium_clay_loam,annual,266.3,74.0,107.6,7.54,0.52,26.15,18.82,34.52,73.72,1697.35,100.0,171.0,1538.4,8.3
sugarcane,canal_command,medium_clay_loam,annual,224.9,80.5,127.5,7.46,0.62,27.69,19.84,35.98,80.1,1997.25,100.0,102.7,2162.2,12.2
sugarcane,well_irrigated,deep_black_vertisol,kharif,195.9,90.9,139.4,8.05,0.52,28.82,23.41,34.57,79.58,2143.53,100.0,165.8,2040.9,12.7
sugarcane,canal_command,medium_clay_loam,kharif,211.6,63.6,111.6,7.64,0.66,28.19,20.04,36.76,70.85,2318.95,100.0,271.6,2033.2,11.0
